v_const,a_const,smooth
0.0005,0.0005,0.0005
-2.5826742420259e-06,-2.970075260311875e-05,-5.165348248003154e-06
-1.420470841969576e-05,0.00010395263348438911,6.45668538386183e-07
3.2283428246606827e-06,-1.8078718720631938e-05,1.2267702066940306e-05
9.039359876589716e-06,-2.3889735654500578e-05,6.45668538386183e-07
3.2283428246606827e-06,-1.2267701801512833e-05,6.45668538386183e-07
-8.393691323478048e-06,7.489755021565038e-05,6.456685310025987e-06
9.039359876589716e-06,-2.3889735654500578e-05,-5.165348248003154e-06
-2.5826742420259e-06,-5.294482054518296e-05,-5.165348248003154e-06
3.2283428246606827e-06,-1.8078718720631938e-05,-5.165348248003154e-06
2.6472410943823502e-05,1.097636572745222e-05,1.2267702066940306e-05
3.2283428246606827e-06,-1.2267701801512833e-05,6.456685310025987e-06
-2.0015725530687057e-05,-2.970075260311875e-05,1.2267702066940306e-05
3.2283428246606827e-06,-2.3889735654500578e-05,-1.0976365049142024e-05
-2.5826742420259e-06,1.678738257283969e-05,1.807871880910509e-05
3.2283428246606827e-06,-1.8078718720631938e-05,1.2267702066940306e-05
9.039359876589716e-06,-8.781092290105385e-05,1.2267702066940306e-05
9.039359876589716e-06,-1.2267701801512833e-05,-1.0976365049142024e-05
9.039359876589716e-06,5.165348333540828e-05,6.45668538386183e-07
9.039359876589716e-06,-1.8078718720631938e-05,-5.165348248003154e-06
9.039359876589716e-06,-8.199990580483614e-05,6.45668538386183e-07
-2.5826742420259e-06,-3.55117695665105e-05,6.45668538386183e-07
3.2283428246606827e-06,9.233060022107809e-05,-5.165348248003154e-06
9.039359876589716e-06,-1.2267701801512833e-05,6.45668538386183e-07
9.039359876589716e-06,-2.970075260311875e-05,1.2267702066940306e-05
3.2283428246606827e-06,-6.456680075312401e-07,6.45668538386183e-07
3.2283428246606827e-06,2.840941621932595e-05,1.2267702066940306e-05
2.0661393936175134e-05,-2.3889735654500578e-05,6.456685310025987e-06
3.2283428246606827e-06,-6.456685460476837e-05,6.45668538386183e-07
-2.5826742420259e-06,-1.2267701801512833e-05,6.45668538386183e-07
3.2283428246606827e-06,1.097636572745222e-05,6.45668538386183e-07
2.0661393936175134e-05,-1.2267701801512833e-05,6.45668538386183e-07
1.4850376913777231e-05,-4.1322786544627737e-05,6.45668538386183e-07
-2.0015725530687057e-05,-3.55117695665105e-05,-1.6787381865014395e-05
3.2283428246606827e-06,1.678738257283969e-05,1.2267702066940306e-05
1.4850376913777231e-05,-2.970075260311875e-05,-1.0976365049142024e-05
3.2283428246606827e-06,-6.456685460476837e-05,1.2267702066940306e-05
9.039359876589716e-06,-1.8078718720631938e-05,-2.2598398695628286e-05
9.039359876589716e-06,2.259839940345358e-05,-1.6787381865014395e-05
-8.393691323478048e-06,-1.2267701801512833e-05,-5.165348248003154e-06
9.039359876589716e-06,-1.8078718720631938e-05,-1.0976365049142024e-05
3.2283428246606827e-06,-1.8078718720631938e-05,-2.2598398695628286e-05
9.039359876589716e-06,6.327551680500436e-05,-5.165348248003154e-06
2.0661393936175134e-05,-1.8078718720631938e-05,6.456685310025987e-06
-8.393691323478048e-06,-8.781092290105385e-05,6.45668538386183e-07
-1.420470841969576e-05,-1.2267701801512833e-05,-5.165348248003154e-06
2.0661393936175134e-05,5.165348333540828e-05,1.2267702066940306e-05
3.809444491484759e-05,-1.8078718720631938e-05,-5.165348248003154e-06
2.0661393936175134e-05,-5.8755837567580866e-05,-1.0976365049142024e-05
-1.420470841969576e-05,-4.1322786544627737e-05,6.45668538386183e-07
