Axis1
Number of sampling data,1024
Sampling time interval(ms),1.556
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.555555,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
3.111110,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
4.666665,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
6.222220,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
7.777775,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
9.333330,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
10.888885,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
12.444440,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
13.999995,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
15.555550,0,2.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
17.111105,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
18.666660,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
20.222215,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
21.777770,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
23.333325,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
24.888880,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.444435,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.999990,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
29.555545,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
31.111100,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
32.666655,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
34.222210,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
35.777765,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
37.333320,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
38.888875,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
40.444430,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
41.999985,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
43.555540,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
45.111095,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
46.666650,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
48.222205,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
49.777760,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
51.333315,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
52.888870,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
54.444425,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
55.999980,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
57.555535,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
59.111090,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
60.666645,0,2.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
62.222200,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
63.777755,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
65.333310,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
66.888865,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
68.444420,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
69.999975,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
