Axis1
Number of sampling data,512
Sampling time interval(ms),10.000
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
10.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
20.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
30.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
40.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
50.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
60.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
70.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
80.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
90.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
100.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
110.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
120.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
130.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
140.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
150.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
160.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
170.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
180.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
190.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
200.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
210.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
220.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
230.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
240.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
250.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
260.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
270.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
280.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
290.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
300.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
310.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
320.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
330.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
340.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
350.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
360.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
370.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
380.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
390.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
400.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
410.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
420.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
430.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
440.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
450.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
460.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
470.000000,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
480.000000,0,2.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
490.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
500.000000,0,2.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
510.000000,-1.000000,1.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
520.000000,-5.000000,-0.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
530.000000,-14.000000,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
540.000000,-27.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
550.000000,-46.000000,-6.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
560.000000,-59.000000,-5.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
570.000000,-72.000000,-7.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
580.000000,-86.000000,-8.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
590.000000,-105.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
600.000000,-118.000000,-7.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
610.000000,-132.000000,-8.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
620.000000,-148.000000,-9.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
630.000000,-163.000000,-9.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
640.000000,-179.000000,-10.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
650.000000,-193.000000,-9.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
660.000000,-206.000000,-10.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
670.000000,-221.000000,-10.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
680.000000,-238.000000,-10.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
690.000000,-253.000000,-10.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
700.000000,-266.000000,-11.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
710.000000,-281.000000,-10.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
720.000000,-290.000000,-10.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
730.000000,-296.000000,-9.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
740.000000,-299.000000,-9.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
750.000000,-299.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
760.000000,-300.000000,-8.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
770.000000,-298.000000,-8.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
780.000000,-299.000000,-8.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
790.000000,-300.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
800.000000,-299.000000,-8.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
810.000000,-300.000000,-8.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
820.000000,-300.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
830.000000,-301.000000,-8.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
840.000000,-299.000000,-8.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
850.000000,-300.000000,-8.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
860.000000,-301.000000,-8.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
870.000000,-300.000000,-7.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
880.000000,-299.000000,-8.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
890.000000,-299.000000,-8.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
900.000000,-299.000000,-8.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
910.000000,-301.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
920.000000,-298.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
930.000000,-299.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
940.000000,-300.000000,-7.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
950.000000,-299.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
960.000000,-300.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
970.000000,-300.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
980.000000,-299.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
990.000000,-301.000000,-6.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1000.000000,-300.000000,-6.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1010.000000,-299.000000,-6.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1020.000000,-298.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1030.000000,-300.000000,-7.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1040.000000,-299.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1050.000000,-300.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1060.000000,-301.000000,-6.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1070.000000,-298.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1080.000000,-301.000000,-7.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1090.000000,-300.000000,-6.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1100.000000,-298.000000,-7.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1110.000000,-300.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1120.000000,-300.000000,-6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1130.000000,-298.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1140.000000,-300.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1150.000000,-299.000000,-7.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1160.000000,-301.000000,-6.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1170.000000,-300.000000,-6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1180.000000,-300.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1190.000000,-299.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1200.000000,-300.000000,-7.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1210.000000,-300.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1220.000000,-298.000000,-6.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1230.000000,-300.000000,-7.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1240.000000,-300.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1250.000000,-300.000000,-6.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1260.000000,-299.000000,-6.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1270.000000,-298.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.000000,-301.000000,-6.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1290.000000,-299.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1300.000000,-300.000000,-7.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1310.000000,-301.000000,-6.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1320.000000,-299.000000,-6.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1330.000000,-299.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1340.000000,-299.000000,-6.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1350.000000,-299.000000,-8.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1360.000000,-300.000000,-5.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1370.000000,-298.000000,-5.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1380.000000,-298.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1390.000000,-299.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.000000,-300.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1410.000000,-300.000000,-6.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1420.000000,-298.000000,-6.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1430.000000,-298.000000,-7.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1440.000000,-301.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1450.000000,-300.000000,-7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
1460.000000,-300.000000,-7.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1470.000000,-299.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1480.000000,-300.000000,-7.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1490.000000,-301.000000,-6.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1500.000000,-299.000000,-7.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1510.000000,-299.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1520.000000,-300.000000,-7.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1530.000000,-300.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1540.000000,-299.000000,-7.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1550.000000,-300.000000,-8.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1560.000000,-301.000000,-6.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1570.000000,-300.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1580.000000,-300.000000,-7.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1590.000000,-298.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1600.000000,-300.000000,-8.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1610.000000,-301.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1620.000000,-298.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1630.000000,-300.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1640.000000,-300.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1650.000000,-299.000000,-8.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1660.000000,-301.000000,-7.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1670.000000,-300.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1680.000000,-299.000000,-7.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1690.000000,-299.000000,-7.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1700.000000,-299.000000,-8.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1710.000000,-299.000000,-7.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
1720.000000,-299.000000,-8.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
1730.000000,-298.000000,-8.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1740.000000,-299.000000,-8.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1750.000000,-300.000000,-8.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1760.000000,-300.000000,-7.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
1770.000000,-299.000000,-7.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1780.000000,-298.000000,-8.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1790.000000,-299.000000,-8.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1800.000000,-298.000000,-8.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1810.000000,-300.000000,-7.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1820.000000,-297.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1830.000000,-300.000000,-8.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1840.000000,-299.000000,-8.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1850.000000,-299.000000,-9.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1860.000000,-300.000000,-8.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1870.000000,-299.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1880.000000,-299.000000,-9.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
1890.000000,-300.000000,-8.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1900.000000,-299.000000,-10.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1910.000000,-300.000000,-9.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
1920.000000,-300.000000,-9.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1930.000000,-299.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
1940.000000,-300.000000,-9.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
1950.000000,-300.000000,-9.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
