Axis1
Number of sampling data,512
Sampling time interval(ms),2.000
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
4.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
6.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
8.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
10.000000,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
12.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
14.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
16.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
18.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
20.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
22.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
24.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
28.000000,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
30.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
32.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
34.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
36.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
38.000000,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
40.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
42.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
44.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
46.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
48.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
50.000000,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
52.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
54.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
56.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
58.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
60.000000,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
62.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
64.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
66.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
68.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
70.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
72.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
74.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
76.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
78.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
80.000000,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
82.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
84.000000,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
86.000000,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
88.000000,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
90.000000,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
92.000000,0,-3.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
94.000000,0,-3.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
96.000000,0,-4.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
98.000000,0,-4.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
100.000000,-1.000000,-4.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
102.000000,-1.000000,-5.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
104.000000,-2.000000,-5.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
106.000000,-3.000000,-5.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
108.000000,-4.000000,-6.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
110.000000,-5.000000,-6.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
112.000000,-6.000000,-7.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
114.000000,-8.000000,-7.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
116.000000,-10.000000,-8.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
118.000000,-12.000000,-8.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
120.000000,-16.000000,-9.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
122.000000,-19.000000,-9.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
124.000000,-25.000000,-9.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
126.000000,-28.000000,-9.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
128.000000,-33.000000,-10.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
130.000000,-36.000000,-10.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
132.000000,-43.000000,-10.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
134.000000,-46.000000,-10.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
136.000000,-53.000000,-10.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
138.000000,-58.000000,-10.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
140.000000,-64.000000,-10.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
142.000000,-68.000000,-9.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
144.000000,-74.000000,-9.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
146.000000,-79.000000,-9.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
148.000000,-84.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
150.000000,-87.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
152.000000,-92.000000,-9.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
154.000000,-95.000000,-9.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
156.000000,-99.000000,-10.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
158.000000,-104.000000,-10.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
160.000000,-111.000000,-10.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
162.000000,-115.000000,-10.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
164.000000,-121.000000,-10.800000,0,0,0,0,0,0,0,0,0,0,0,0,0
166.000000,-126.000000,-10.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
168.000000,-131.000000,-11.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
170.000000,-137.000000,-11.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
172.000000,-144.000000,-11.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
174.000000,-150.000000,-11.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
176.000000,-155.000000,-11.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
178.000000,-158.000000,-12.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
180.000000,-166.000000,-12.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
182.000000,-172.000000,-12.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
184.000000,-178.000000,-12.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
186.000000,-185.000000,-12.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
188.000000,-192.000000,-12.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
190.000000,-196.000000,-12.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
192.000000,-200.000000,-13.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
194.000000,-206.000000,-13.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
196.000000,-213.000000,-13.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
198.000000,-221.000000,-13.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
200.000000,-230.000000,-13.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
202.000000,-234.000000,-13.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
204.000000,-240.000000,-13.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
206.000000,-244.000000,-13.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
208.000000,-251.000000,-13.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
210.000000,-259.000000,-13.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
212.000000,-266.000000,-13.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
214.000000,-271.000000,-13.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
216.000000,-275.000000,-13.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
218.000000,-281.000000,-13.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
220.000000,-288.000000,-13.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
222.000000,-292.000000,-13.700000,0,0,0,0,0,0,0,0,0,0,0,0,0
224.000000,-299.000000,-13.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
226.000000,-305.000000,-13.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
228.000000,-313.000000,-13.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
230.000000,-316.000000,-12.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
232.000000,-321.000000,-13.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
