Axis1
Number of sampling data,512
Sampling time interval(ms),1.111
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.111111,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
2.222222,0,-3.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
3.333333,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
4.444444,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
5.555555,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
6.666666,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
7.777777,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
8.888888,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
9.999999,0,-3.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
11.111110,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
12.222221,0,-3.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
13.333332,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
14.444443,0,-3.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
15.555554,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
16.666665,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
17.777776,0,-3.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
18.888887,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
19.999998,0,-3.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
21.111109,0,-3.600000,0,0,0,0,0,0,0,0,0,0,0,0,0
22.222220,0,-3.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
