Axis1
Number of sampling data,2560
Sampling time interval(ms),1.333
Time,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,Analog 7,Digital 1,Digital 2,Digital 3,Digital 4,Digital 5,Digital 6,Digital 7,Digital 8
ms,Servo motor speed,Torque,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
0.000000,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.333333,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
2.666666,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
3.999999,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
5.333332,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
6.666665,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
7.999998,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
9.333331,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
10.666664,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
11.999997,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
13.333330,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
14.666663,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
15.999996,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
17.333329,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
18.666662,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
19.999995,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
21.333328,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
22.666661,0,2.500000,0,0,0,0,0,0,0,0,0,0,0,0,0
23.999994,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.333327,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.666660,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
27.999993,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
29.333326,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
30.666659,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
31.999992,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
33.333325,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
34.666658,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
35.999991,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
37.333324,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
38.666657,0,2.100000,0,0,0,0,0,0,0,0,0,0,0,0,0
39.999990,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
41.333323,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
42.666656,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
43.999989,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
45.333322,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
46.666655,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
47.999988,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
49.333321,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
50.666654,0,2.400000,0,0,0,0,0,0,0,0,0,0,0,0,0
51.999987,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
53.333320,0,2.300000,0,0,0,0,0,0,0,0,0,0,0,0,0
54.666653,0,2.200000,0,0,0,0,0,0,0,0,0,0,0,0,0
55.999986,0,2.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
57.333319,0,2.000000,0,0,0,0,0,0,0,0,0,0,0,0,0
58.666652,0,1.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
59.999985,0,1.900000,0,0,0,0,0,0,0,0,0,0,0,0,0
