,v_const,a_const,smooth
0,0.0005,0.0005,0.0005
1,-2.5826742420259e-06,-2.970075260311875e-05,-5.165348248003154e-06
2,-1.420470841969576e-05,0.00010395263348438911,6.45668538386183e-07
3,3.2283428246606827e-06,-1.8078718720631938e-05,1.2267702066940306e-05
4,9.039359876589716e-06,-2.3889735654500578e-05,6.45668538386183e-07
5,3.2283428246606827e-06,-1.2267701801512833e-05,6.45668538386183e-07
6,-8.393691323478048e-06,7.489755021565038e-05,6.456685310025987e-06
7,9.039359876589716e-06,-2.3889735654500578e-05,-5.165348248003154e-06
8,-2.5826742420259e-06,-5.294482054518296e-05,-5.165348248003154e-06
9,3.2283428246606827e-06,-1.8078718720631938e-05,-5.165348248003154e-06
10,2.6472410943823502e-05,1.097636572745222e-05,1.2267702066940306e-05
11,3.2283428246606827e-06,-1.2267701801512833e-05,6.456685310025987e-06
12,-2.0015725530687057e-05,-2.970075260311875e-05,1.2267702066940306e-05
13,3.2283428246606827e-06,-2.3889735654500578e-05,-1.0976365049142024e-05
14,-2.5826742420259e-06,1.678738257283969e-05,1.807871880910509e-05
15,3.2283428246606827e-06,-1.8078718720631938e-05,1.2267702066940306e-05
16,9.039359876589716e-06,-8.781092290105385e-05,1.2267702066940306e-05
17,9.039359876589716e-06,-1.2267701801512833e-05,-1.0976365049142024e-05
18,9.039359876589716e-06,5.165348333540828e-05,6.45668538386183e-07
19,9.039359876589716e-06,-1.8078718720631938e-05,-5.165348248003154e-06
20,9.039359876589716e-06,-8.199990580483614e-05,6.45668538386183e-07
21,-2.5826742420259e-06,-3.55117695665105e-05,6.45668538386183e-07
22,3.2283428246606827e-06,9.233060022107809e-05,-5.165348248003154e-06
23,9.039359876589716e-06,-1.2267701801512833e-05,6.45668538386183e-07
24,9.039359876589716e-06,-2.970075260311875e-05,1.2267702066940306e-05
25,3.2283428246606827e-06,-6.456680075312401e-07,6.45668538386183e-07
26,3.2283428246606827e-06,2.840941621932595e-05,1.2267702066940306e-05
27,2.0661393936175134e-05,-2.3889735654500578e-05,6.456685310025987e-06
28,3.2283428246606827e-06,-6.456685460476837e-05,6.45668538386183e-07
29,-2.5826742420259e-06,-1.2267701801512833e-05,6.45668538386183e-07
30,3.2283428246606827e-06,1.097636572745222e-05,6.45668538386183e-07
31,2.0661393936175134e-05,-1.2267701801512833e-05,6.45668538386183e-07
32,1.4850376913777231e-05,-4.1322786544627737e-05,6.45668538386183e-07
33,-2.0015725530687057e-05,-3.55117695665105e-05,-1.6787381865014395e-05
34,3.2283428246606827e-06,1.678738257283969e-05,1.2267702066940306e-05
35,1.4850376913777231e-05,-2.970075260311875e-05,-1.0976365049142024e-05
36,3.2283428246606827e-06,-6.456685460476837e-05,1.2267702066940306e-05
37,9.039359876589716e-06,-1.8078718720631938e-05,-2.2598398695628286e-05
38,9.039359876589716e-06,2.259839940345358e-05,-1.6787381865014395e-05
39,-8.393691323478048e-06,-1.2267701801512833e-05,-5.165348248003154e-06
40,9.039359876589716e-06,-1.8078718720631938e-05,-1.0976365049142024e-05
41,3.2283428246606827e-06,-1.8078718720631938e-05,-2.2598398695628286e-05
42,9.039359876589716e-06,6.327551680500436e-05,-5.165348248003154e-06
43,2.0661393936175134e-05,-1.8078718720631938e-05,6.456685310025987e-06
44,-8.393691323478048e-06,-8.781092290105385e-05,6.45668538386183e-07
45,-1.420470841969576e-05,-1.2267701801512833e-05,-5.165348248003154e-06
46,2.0661393936175134e-05,5.165348333540828e-05,1.2267702066940306e-05
47,3.809444491484759e-05,-1.8078718720631938e-05,-5.165348248003154e-06
48,2.0661393936175134e-05,-5.8755837567580866e-05,-1.0976365049142024e-05
49,-1.420470841969576e-05,-4.1322786544627737e-05,6.45668538386183e-07
50,3.2283428246606827e-06,-2.3889735654500578e-05,-1.0976365049142024e-05
51,2.6472410943823502e-05,-2.3889735654500578e-05,1.2267702066940306e-05
52,-2.5826742420259e-06,-5.294482054518296e-05,6.45668538386183e-07
53,-2.5826742420259e-06,-2.3889735654500578e-05,-5.165348248003154e-06
54,3.2283428246606827e-06,2.840941621932595e-05,-5.165348248003154e-06
55,9.039359876589716e-06,-1.8078718720631938e-05,1.2267702066940306e-05
56,9.039359876589716e-06,-3.55117695665105e-05,6.456685310025987e-06
57,1.4850376913777231e-05,-2.3889735654500578e-05,-1.6787381865014395e-05
58,3.2283428246606827e-06,4.584246657849396e-05,2.3889735536536373e-05
59,-2.5826742420259e-06,-1.8078718720631938e-05,1.2267702066940306e-05
60,3.2283428246606827e-06,-8.781092290105385e-05,6.45668538386183e-07
61,-2.5826742420259e-06,-6.4566848971512785e-06,-1.0976365049142024e-05
