,v_const,a_const,smooth,integrated_v_const,integrated_a_const,integrated_smooth
0,49.111111,2.0,2.444444,0.049111111,0.002,0.002444444
1,-0.0,-0.0,-0.0,0.0,0.0,0.0
2,-0.0,-0.0,-0.0,0.0,0.0,0.0
3,-0.0,-0.0,-0.0,0.0,0.0,0.0
4,-0.0,-0.0,-0.0,0.0,0.0,0.0
5,-0.0,-0.0,-0.0,0.0,0.0,0.0
6,-0.0,-0.0,-0.0,0.0,0.0,0.0
7,-0.0,-0.0,-0.0,0.0,0.0,0.0
8,-0.0,-0.0,-0.0,0.0,0.0,0.0
9,-0.0,-0.0,-0.0,0.0,0.0,0.0
10,-0.0,-0.0,-0.0,0.0,0.0,0.0
11,-0.0,-0.0,-0.0,0.0,0.0,0.0
12,-0.0,-0.0,-0.0,0.0,0.0,0.0
13,-0.0,-0.0,-0.0,0.0,0.0,0.0
14,-0.0,-0.0,-0.0,0.0,0.0,0.0
15,-0.0,-0.0,-0.0,0.0,0.0,0.0
16,-0.0,-0.0,-0.0,0.0,0.0,0.0
17,-0.0,-0.0,-0.0,0.0,0.0,0.0
18,-0.0,-0.0,-0.0,0.0,0.0,0.0
19,-0.0,-0.0,-0.0,0.0,0.0,0.0
20,-0.0,-0.0,-0.0,0.0,0.0,0.0
21,-0.0,-0.0,-0.0,0.0,0.0,0.0
22,-0.0,-0.0,-0.0,0.0,0.0,0.0
23,-0.0,-0.0,-0.0,0.0,0.0,0.0
24,-0.0,-0.0,-0.0,0.0,0.0,0.0
25,-0.0,-0.0,-0.0,0.0,0.0,0.0
26,-0.0,-0.0,-0.0,0.0,0.0,0.0
27,-0.0,-0.0,-0.0,0.0,0.0,0.0
28,-0.0,-0.0,-0.0,0.0,0.0,0.0
29,-0.0,-0.0,-0.0,0.0,0.0,0.0
30,-0.0,-0.0,-0.0,0.0,0.0,0.0
31,-0.0,-0.0,-0.0,0.0,0.0,0.0
32,-0.0,-0.0,-0.0,0.0,0.0,0.0
33,-0.0,-0.0,-0.0,0.0,0.0,0.0
34,-0.0,-0.0,-0.0,0.0,0.0,0.0
35,-0.0,-0.0,-0.0,0.0,0.0,0.0
36,-0.0,-0.0,-0.0,0.0,0.0,0.0
37,-0.0,-0.0,-0.0,0.0,0.0,0.0
38,-0.0,-0.0,-0.0,0.0,0.0,0.0
39,-0.0,-0.0,-0.0,0.0,0.0,0.0
40,-0.0,-0.0,-0.0,0.0,0.0,0.0
41,-0.0,-0.0,-0.0,0.0,0.0,0.0
42,-0.0,-0.0,-0.0,0.0,0.0,0.0
43,-0.0,-0.0,-0.0,0.0,0.0,0.0
44,-0.0,-0.0,0.0003333333333333333,0.0,0.0,4.074073333333333e-07
45,-0.0,-0.0,-0.0,0.0,0.0,8.148146666666666e-07
46,-0.0,-0.0,-0.0,0.0,0.0,8.148146666666666e-07
47,-0.0,-0.0,-0.0,0.0,0.0,8.148146666666666e-07
48,-0.0,-0.0,0.0003333333333333333,0.0,0.0,1.2222219999999999e-06
49,-0.0,-0.0,0.0003333333333333333,0.0,0.0,2.0370366666666666e-06
50,-0.0,0.0003333333333333333,0.0003333333333333333,0.0,3.333333333333333e-07,2.851851333333333e-06
51,0.0026666666666666666,0.0006666666666666666,0.0006666666666666666,6.548148133333333e-05,1.3333333333333332e-06,4.074073333333333e-06
52,0.005666666666666667,0.001,0.0006666666666666666,0.0002701111105,3e-06,5.703702666666666e-06
53,0.007333333333333333,0.0016666666666666668,0.0006666666666666666,0.000589333332,5.666666666666667e-06,7.333331999999999e-06
54,0.010333333333333333,0.0026666666666666666,0.0006666666666666666,0.0010231481458333335,9.999999999999999e-06,8.962961333333332e-06
55,0.012333333333333333,0.0033333333333333335,0.001,0.0015797407371666667,1.6e-05,1.0999997999999998e-05
56,0.014666666666666666,0.004666666666666667,0.001,0.0022427407356666665,2.4e-05,1.3444441999999998e-05
57,0.01633333333333333,0.006,0.0013333333333333333,0.0030039629561666665,3.4666666666666665e-05,1.6296293333333332e-05
58,0.016,0.007666666666666667,0.0016666666666666668,0.003797925917333333,4.8333333333333334e-05,1.9962959333333333e-05
59,0.01633333333333333,0.009000000000000001,0.0023333333333333335,0.0045918888785,6.500000000000001e-05,2.4851847333333333e-05
60,0.016666666666666666,0.012,0.003,0.00540222221,8.6e-05,3.137036466666667e-05
61,0.01633333333333333,0.013666666666666666,0.003,0.0062125555415,0.00011166666666666667,3.870369666666667e-05
62,0.01633333333333333,0.016,0.0033333333333333335,0.007014703687833333,0.00014133333333333334,4.6444436e-05
63,0.01633333333333333,0.017666666666666667,0.004,0.007816851834166666,0.00017500000000000003,5.540739733333333e-05
64,0.01633333333333333,0.02033333333333333,0.004666666666666667,0.0086189999805,0.00021300000000000003,6.5999988e-05
65,0.01633333333333333,0.02266666666666667,0.006,0.009421148126833333,0.00025600000000000004,7.903702266666666e-05
