l1,case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case 1 - const vel (T=0.049111111),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case2 - const acc (T=0.002),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444),case3 - smooth (T=0.002444444)
l2,servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m],servo_x[m],potent._x[m],encoder_x[m]
1,0.0,-5.8109964069350505e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,3.2283428246606827e-06,0.0,0.0,0.0,0.0,0.0,6.45668538386183e-07,0.0
3,0.0,7.102315442646821e-06,0.0,0.0,0.0,0.0,0.0,8.393659893752285e-06,0.0
4,0.0,5.8110028653011215e-06,0.0,0.0,0.0,0.0,0.0,1.4204723143706584e-05,0.0
5,0.0,7.10238517956849e-06,0.0,0.0,0.0,0.0,0.0,-1.9370262502910435e-06,0.0
6,0.0,3.874028173195063e-06,0.0,0.0,0.0,0.0,0.0,7.102405485509867e-06,0.0
7,0.0,1.4850376913777235e-05,0.0,0.0,0.0,0.0,0.0,6.45668538386183e-07,0.0
8,0.0,7.10231544818398e-06,0.0,0.0,0.0,0.0,0.0,7.102498448673504e-06,0.0
9,0.0,1.7433071806986207e-05,0.0,0.0,0.0,0.0,0.0,-5.81097545867673e-06,0.0
10,0.0,3.2283428246606827e-06,0.0,0.0,0.0,0.0,0.0,6.457150265205336e-07,0.0
11,0.0,-2.0015609312780936e-05,0.0,0.0,0.0,0.0,0.0,-6.457718338603454e-07,0.0
12,0.0,1.0330672461109242e-05,0.0,0.0,0.0,0.0,0.0,-5.165348248003154e-06,0.0
13,0.0,9.039359876589716e-06,0.0,0.0,0.0,0.0,0.0,1.6141837191829886e-05,0.0
14,0.0,-1.2268001209310577e-05,0.0,0.0,-2.3889735654500575e-05,0.0,0.0,3.873944039769831e-06,0.0
15,0.0,7.102524620094505e-06,0.0,0.0,-5.294482054518296e-05,0.0,0.0,-4.519535092985602e-06,0.0
16,0.0,1.2913193010380512e-05,0.0,0.0,-2.970075260311869e-05,0.0,0.0,-3.2279552907374223e-06,0.0
17,0.0,-4.519741923218219e-06,0.0,0.0,-8.781092290105336e-05,0.0,0.0,-1.2915850036211424e-06,0.0
18,0.0,8.393755873714117e-06,0.0,0.0,-8.199990580483547e-05,0.0,0.0,-2.0661656523100052e-05,0.0
19,0.0,1.2267635524200834e-05,0.0,0.0,-2.9700752603118508e-05,0.0,0.0,-5.165255271734218e-06,0.0
20,0.0,-3.16376203367418e-05,0.0,0.0,-6.456685460476765e-05,0.0,0.0,-5.165348248003154e-06,0.0
21,0.0,0.0001220322582874775,0.0,0.0,-4.1322786544627134e-05,0.0,0.0,-6.457718322213764e-07,0.0
22,0.0,-9.362306861824416e-05,0.0,0.0,-6.456685460476764e-05,0.0,0.0,2.5827826012463087e-06,0.0
23,0.0,2.647299165800611e-05,0.0,0.0,-1.8078718720631775e-05,0.0,0.0,3.22845629677673e-06,0.0
24,0.0,1.2267182161709798e-05,0.0,0.0,-8.781092290105143e-05,0.0,0.0,-1.549556961063102e-05,0.0
25,0.0,5.8115954288044716e-06,0.0,0.0,-5.875583756757946e-05,0.0,0.0,-9.039855346769547e-06,0.0
26,0.0,1.2913797484615985e-06,0.0,0.0,-5.294482054518195e-05,0.0,0.0,-1.291724468024315e-06,0.0
27,0.0,9.684940621784005e-06,0.0,0.0,-3.551176956650977e-05,0.0,0.0,1.5496581887866774e-05,0.0
28,0.0,9.039359876589716e-06,0.0,0.0,-8.781092290105045e-05,0.0,0.0,1.2267841531342687e-05,0.0
29,0.0,4.390518295912399e-05,0.0,0.0,-5.875583756757918e-05,0.0,0.0,-9.684738724357387e-06,0.0
30,0.0,-4.132350535134536e-05,0.0,0.0,-4.713380353753386e-05,0.0,0.0,2.5822247338000237e-06,0.0
31,0.0,5.810968000893967e-06,0.0,0.0,-4.713380353753362e-05,0.0,0.0,-5.165348248003154e-06,0.0
32,0.0,-6.457239790294164e-06,0.0,0.0,-4.713380353753362e-05,0.0,0.0,-3.227862289899948e-06,0.0
33,0.0,1.420558622169642e-05,0.0,0.0,-2.9700752603117783e-05,0.0,0.0,-1.355887389838413e-05,0.0
34,0.0,1.1621822333658797e-05,0.0,0.0,-6.4566848971522475e-06,0.0,0.0,-3.2285131090330518e-06,0.0
35,0.0,-2.1952351676586116e-05,0.0,0.0,-4.132278654462693e-05,0.0,0.0,2.583200984623978e-06,0.0
36,0.0,5.811072595977485e-06,0.0,0.0,-3.551176956650929e-05,0.0,0.0,1.8079375478461089e-10,0.0
37,0.0,4.842457342546686e-05,0.0,0.0,-9.943295713778032e-05,0.0,0.0,6.464123485329571e-07,0.0
38,0.0,9.039417985660396e-06,0.0,0.0,-8.199990580483291e-05,0.0,0.0,-9.684645748088413e-06,0.0
39,0.0,9.039359876589716e-06,0.0,0.0,-8.781092290104981e-05,0.0,0.0,-7.74841495158726e-06,0.0
40,0.0,1.0976183464509862e-05,0.0,0.0,-5.8755837567577485e-05,0.0,0.0,-7.102555296966025e-06,0.0
41,0.0,7.102664071516293e-06,0.0,0.0,-4.713380353753265e-05,0.0,0.0,2.5832939559852743e-06,0.0
42,0.0,2.2599158804289277e-05,0.0,0.0,-3.551176956650905e-05,0.0,0.0,6.45668538386183e-07,0.0
43,0.0,1.2909497109240044e-06,0.0,0.0,-8.781092290104933e-05,0.0,0.0,-5.165348248003154e-06,0.0
44,0.0,7.102815121556821e-06,0.0,0.0,-4.1322786544623786e-05,0.0,4.074073333333333e-07,7.747800257143352e-06,0.0
45,0.0,1.2267635525263796e-05,0.0,0.0,-9.362194001203936e-05,0.0,8.148146666666666e-07,1.9365510464680144e-06,0.0
46,0.0,4.0676639971077585e-05,0.0,0.0,-1.807871872063242e-05,0.0,8.148146666666666e-07,6.459009790580551e-07,0.0
47,0.0,1.4850376913777235e-05,0.0,0.0,-7.618888872337965e-05,0.0,8.148146666666666e-07,-3.873535973959127e-06,0.0
48,0.0,7.10214110972583e-06,0.0,0.0,-0.00014592109467547878,0.0,1.222222e-06,-1.6787381865014395e-05,0.0
49,0.0,2.582529623385947e-06,0.000100528,0.0,-5.294482054518054e-05,0.0,2.0370366666666666e-06,-1.097710887403395e-05,0.0
50,0.0,0.00015044084386547576,0.00030158400000000003,3.333333333333333e-07,-9.362194001203614e-05,0.0,2.851851333333333e-06,1.7433556479776292e-05,0.0
51,6.548148133333333e-05,0.00046359013119081185,0.000653432,1.3333333333333332e-06,-3.551176956650921e-05,0.0,4.074073333333333e-06,-1.1622550125616729e-05,0.0
52,0.0002701111105,0.0008722976819890209,0.001156072,3e-06,-6.456685460476386e-05,0.0,5.703702666666666e-06,-7.1020904156201355e-06,5.026400000000001e-05
53,0.000589333332,0.0014153050548679105,0.00175924,5.666666666666667e-06,-6.456685460475998e-05,0.0,7.333331999999998e-06,-4.521022737856424e-06,0.00015079200000000002
54,0.0010231481458333337,0.0020706577583873916,0.002462936,1e-05,-7.618888872338012e-05,0.0,8.962961333333334e-06,2.5818528336502995e-06,0.00015079200000000002
